,State,County,PCT_LACCESS_LOWI15
200,CA,Kern,5.375653486199294
1375,MN,Ramsey,5.320899829219349
2231,OR,Marion,5.317559874469501
114,AR,Benton,5.303287662805876
1271,MI,Kent,5.284038419054399
547,HI,Honolulu,5.235817977779098
2279,PA,Lancaster,5.232285374207067
1293,MI,Oakland,5.209556223115967
1280,MI,Macomb,5.161526185977695
3060,WI,Dane,5.134933316087717
1332,MN,Dakota,5.123214075648373
69,AK,Anchorage,5.113838821052922
3115,WI,Waukesha,5.064421051438094
1194,MD,Anne Arundel,5.024142473025633
1230,MA,Worcester,5.020361978001646
1863,NY,Orange,4.9523353574681135
1223,MA,Hampden,4.932812164305185
2310,PA,York,4.926778907484712
2920,VA,Chesapeake,4.917224822153378
1981,NC,Wake,4.909421288597148
306,CO,Weld,4.898346522480332
2283,PA,Luzerne,4.873638946686848
235,CA,Stanislaus,4.856083705926372
1340,MN,Hennepin,4.809306355851851
1828,NY,Albany,4.77973478103996
224,CA,San Joaquin,4.769405559465946
317,DE,New Castle,4.75010290877765
2264,PA,Cumberland,4.7475795677752055
1138,LA,Jefferson,4.744918979597066
369,FL,Palm Beach,4.6543735034218265
279,CO,Larimer,4.6515168510202916
1777,NJ,Camden,4.625399937422483
2959,WA,Clark,4.619001954943378
845,IA,Linn,4.607097411482251
1786,NJ,Monmouth,4.58265366751442
312,CT,New Haven,4.54266412786196
260,CO,Denver,4.5293046807502195
1219,MA,Bristol,4.502099906150451
1179,ME,Cumberland,4.501344824121432
604,IL,Champaign,4.498189684770461
2282,PA,Lehigh,4.484336317648106
225,CA,San Luis Obispo,4.453968350591388
219,CA,Sacramento,4.422630798879318
2985,WA,Spokane,4.413818649482917
1221,MA,Essex,4.413227732996519
103,AZ,Maricopa,4.399472615302256
2291,PA,Northampton,4.394418427086772
1048,KY,Jefferson,4.365452397319633
2583,TX,Denton,4.3475784252427205
1312,MI,Wayne,4.330935207309061
551,ID,Ada,4.313359990663541
2060,OH,Cuyahoga,4.292037559109741
1859,NY,Niagara,4.237824535009678
1860,NY,Oneida,4.194093745631124
195,CA,Fresno,4.161996053315686
1208,MD,Prince George's,4.042756029405504
274,CO,Jefferson,4.035464558737295
309,CT,Hartford,4.019966789744456
234,CA,Sonoma,4.014133043830221
2252,PA,Bucks,4.003935186963529
1873,NY,Saratoga,3.984430167206
616,IL,DuPage,3.965173814973378
2862,VA,Henrico,3.936895667553228
371,FL,Pinellas,3.9365689188808144
1879,NY,Suffolk,3.9045451050310236
2984,WA,Snohomish,3.8916059950908894
2278,PA,Lackawanna,3.8827348423564403
725,IN,Hamilton,3.8794563560917297
1748,NV,Clark,3.84170431449344
639,IL,Kane,3.820834053340527
1979,NC,Union,3.8152833374272404
229,CA,Santa Cruz,3.801765257736514
1861,NY,Onondaga,3.7526292133677566
1785,NJ,Middlesex,3.733372760111081
1784,NJ,Mercer,3.652384173520039
2289,PA,Montgomery,3.6514771318295134
865,IA,Polk,3.62098803662976
1787,NJ,Morris,3.528312877212885
1204,MD,Harford,3.510406694331554
1227,MA,Norfolk,3.4768689155882533
212,CA,Monterey,3.4736811244660375
2249,PA,Berks,3.460005770983395
233,CA,Solano,3.3824649588304174
2892,VA,Prince William,3.350249711076637
1871,NY,Rockland,3.3375869996465046
1597,MO,St. Louis,3.3289368101268737
241,CA,Ventura,3.295901005327541
1831,NY,Broome,3.240671569893066
308,CT,Fairfield,3.2083189395722536
2314,RI,Providence,3.201094406347645
227,CA,Santa Barbara,3.1294548622039655
1681,NE,Douglas,3.1212800979012205
250,CO,Boulder,3.0818909237852
222,CA,San Diego,3.0744401635022403
216,CA,Placer,3.0248215663017173
1225,MA,Middlesex,2.9933657061288614
2210,OR,Clackamas,2.9729319937444414
192,CA,Contra Costa,2.968510470235371
1195,MD,Baltimore,2.866575161372795
