,CensusTract,State,County,pop_with_low_access,percent_with_low_access
17942,12113010815,Florida,Santa Rosa,2314.11816186882,0.310870252803443
17024,12099003101,Florida,Palm Beach,2310.16844334453,0.359279695698994
16838,12095016712,Florida,Orange,2303.64408227801,0.265396783672582
18157,12125960200,Florida,Union,2301.81389320137,0.314498414155127
14933,12031013503,Florida,Duval,2300.40087758889,0.272269011431991
14230,12009064302,Florida,Brevard,2284.70637542009,0.400123708479876
17787,12105014501,Florida,Polk,2278.96257999468,0.274739310427328
17355,12101031703,Florida,Pasco,2267.39789456092,0.457967661999783
14531,12011061100,Florida,Broward,2267.28623484075,0.307971507041667
14710,12017450304,Florida,Citrus,2263.77740960443,0.227881760580274
15231,12055961700,Florida,Highlands,2259.0786191255,0.371620105136618
15714,12071010307,Florida,Lee,2248.13517124415,0.378473934552888
16042,12083002503,Florida,Marion,2225.8255150705,0.390358736420642
15541,12057014109,Florida,Hillsborough,2218.50547657894,0.474343698220857
15720,12071010410,Florida,Lee,2210.5345273154,0.198681873747564
15750,12071040109,Florida,Lee,2208.0170054206,0.472404151780189
16020,12083001207,Florida,Marion,2191.93515259947,0.195551356285082
14757,12019031200,Florida,Clay,2178.97205997579,0.152535670981855
14713,12017450601,Florida,Citrus,2164.97752477879,0.432995504955758
17036,12099003800,Florida,Palm Beach,2154.85187795199,0.25723431753038
16487,12086010703,Florida,Miami-Dade,2142.53453623474,0.195361952788798
16857,12095016806,Florida,Orange,2136.51985577731,0.171250389209468
14794,12021010414,Florida,Collier,2125.42122571438,0.278816899608341
15666,12071000502,Florida,Lee,2120.1095470339,0.620459334806528
15073,12033003100,Florida,Escambia,2119.39698495539,0.389881711728366
17789,12105014600,Florida,Polk,2113.99456360444,0.508171770097222
16488,12086010704,Florida,Miami-Dade,2103.67892539619,0.22574084401719
14981,12031014701,Florida,Duval,2086.72268791869,0.290670384164743
14683,12015020400,Florida,Charlotte,2085.54991117203,0.260498365122662
16653,12091020400,Florida,Okaloosa,2081.38518898619,0.313745129482393
